공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적(㎡),공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
문화,근린공원,,경기도 고양시 일산서구 주엽동 77,37.67526323,126.7648512,40373,체력단련시설,,,,,1991-06-29,경기도 고양시 푸른도시사업소,031-8075-4343,2021-05-13
강선,근린공원,경기도 고양시 일산서구 강성로 124,경기도 고양시 일산서구 주엽동 78번지,37.67117101,126.7620628,34384,다목적운동장+체력단련시설,,,,,1991-06-29,경기도 고양시 푸른도시사업소,031-8075-4343,2021-05-13
회화,어린이공원,경기도 고양시 일산서구 고봉로 25-3,경기도 고양시 일산서구 주엽동 91번지,37.66549413,126.763545,3803,체력단련시설,조합놀이대+정글짐+시소+흔들놀이대,화장실,,,1991-06-29,경기도 고양시 일산서구청,031-8075-7266,2021-05-13
숯고개,근린공원,경기도 고양시 일산서구 산현로 33,경기도 고양시 일산서구 탄현동 1580번지,37.69071006,126.7649935,10027,다목적운동장+체력단련시설,조합놀이대 등 3종 5개,,,,1997-01-21,경기도 고양시 푸른도시사업소,031-8075-4343,2021-05-13
가좌,근린공원,경기도 고양시 일산서구 송산로 387-7,경기도 고양시 일산서구 가좌동 1098번지,37.68619741,126.7216817,50155,게이트볼장+실내배드민턴장+체력단련시설,조합놀이대 등 4종 6개,,,,2001-06-22,경기도 고양시 푸른도시사업소,031-8075-4343,2021-05-13
송포,근린공원,,경기도 고양시 일산서구 대화동 1495-1,37.67082215,126.7317682,8968,족구장+체력단련시설,조합놀이대 등 4종 5개,,,,2001-06-22,경기도 고양시 푸른도시사업소,031-8075-4343,2021-05-13
레포츠,체육공원,경기도 고양시 일산서구 대화로156번길 39,경기도 고양시 일산서구 대화동 2314번지,37.66991791,126.7371001,45798,축구장+게이트볼장+농구장+인라인스케이트장+테니스장+실내배드민턴장+체력단련시설,조합놀이대 등 5종 6개,,,,2002-12-31,경기도 고양시 푸른도시사업소,031-8075-4343,2021-05-13
덕이어린이4(한별),어린이공원,,경기도 고양시 일산서구 덕이동 374-12,37.69701508,126.7530462,2748,체력단련시설,조합놀이대+흔들놀이대,,,,2006-01-31,경기도 고양시 일산서구청,031-8075-7266,2021-05-13
덕이근린2,근린공원,,경기도 고양시 일산서구 덕이동 산131-7,37.69601631,126.7494325,18852,체력단련시설,,,,,2006-01-31,경기도 고양시 푸른도시사업소,031-8075-4343,2021-05-13
덕이어린이2(아지랑이),어린이공원,,경기도 고양시 일산서구 덕이동 산142-4,37.70123672,126.7512291,2281,체력단련시설,조합놀이대+흔들놀이대,,,,2006-01-31,경기도 고양시 일산서구청,031-8075-7266,2021-05-13
덕이근린1,근린공원,,경기도 고양시 일산서구 덕이동 산145-1,37.70179299,126.7543795,45701,풋살구장+농구장+족구장+실내배드민턴장+체력단련시설,조합놀이대 등 2종 4개,,,,2006-01-31,경기도 고양시 푸른도시사업소,031-8075-4343,2021-05-13
탄현일단의주택지168(탄현용현),어린이공원,,경기도 고양시 일산서구 탄현동 1634-1,37.70312098,126.7648528,2303,게이트볼장+체력단련시설,조합놀이대+그네+시소+흔들놀이대,,,,2006-10-02,경기도 고양시 일산서구청,031-8075-7266,2021-05-13
킨텍스수변공원(국제전시2단계),수변공원,,경기도 고양시 일산서구 대화동 2725,37.6620456070,126.7392121101,12482.9,,,,,,2007-07-13,경기도 고양시 푸른도시사업소,031-8075-4343,2021-05-13
국제전시2단계(제1호체육공원),체육공원,,경기도 고양시 일산서구 대화동 2708,37.6638472914,126.7351029821,25374,,,,,,2007-07-13,경기도 고양시 푸른도시사업소,031-8075-4343,2021-05-13
탄현일단의주택지169(숯고개향나무),어린이공원,,경기도 고양시 일산서구 탄현동 173-3,37.69335193,126.7635462,4733,체력단련시설,조합놀이대+흔들놀이대+놀이집,,,,2009-01-16,경기도 고양시 일산서구청,031-8075-7266,2021-05-13
문화공원1,문화공원,,경기도 고양시 일산서구 대화동 2600-1,37.66849283,126.7416035,8587,,,,,,2009-06-26,경기도 고양시 푸른도시사업소,031-8075-4343,2021-05-13
대자1-1,소공원,,경기도 고양시 덕양구 대자동 1004,37.69906874,126.8772008,859,,,,,,2013-07-30,경기도 고양시 덕양구청,031-8075-5267,2021-05-13
한오동2-3,소공원,,경기도 고양시 덕양구 대자동 164-1,37.67951946,126.8972305,362,,,,,,2013-07-30,경기도 고양시 덕양구청,031-8075-5267,2021-05-13
한오동2-2,소공원,경기도 고양시 덕양구 호국로1430번길 5-27,경기도 고양시 덕양구 대자동 168-15번지,37.68063138,126.8966399,595,,,,,,2013-07-30,경기도 고양시 덕양구청,031-8075-5267,2021-05-13
대자1-2,어린이공원,,경기도 고양시 덕양구 대자동 978-5,37.69642904,126.8773073,2553,,,,,,2013-07-30,경기도 고양시 덕양구청,031-8075-5267,2021-05-13
한오동2-1,소공원,,경기도 고양시 덕양구 대자동 산123-2,37.68082659,126.8980562,881,,,,,,2013-07-30,경기도 고양시 덕양구청,031-8075-5267,2021-05-13
중모루,소공원,경기도 고양시 덕양구 흥도로132번길 38-8,경기도 고양시 덕양구 도내동 611번지,37.61919336,126.8630114,1140,,,,,,2013-07-30,경기도 고양시 덕양구청,031-8075-5267,2021-05-13
불당골,소공원,,경기도 고양시 덕양구 성사동 336-22,37.65054891,126.8448743,1337,,,,,,2013-07-30,경기도 고양시 덕양구청,031-8075-5267,2021-05-13
궁말,어린이공원,,경기도 고양시 덕양구 원흥동 341-9,37.63663022,126.867676,1857,,,,,,2013-07-30,경기도 고양시 덕양구청,031-8075-5267,2021-05-13
내곡동섬말3,소공원,,경기도 고양시 덕양구 내곡동 492-4,37.62916389,126.7951543,580,,,,,,2013-10-11,경기도 고양시 덕양구청,031-8075-5267,2021-05-13
내곡동섬말1,소공원,,경기도 고양시 덕양구 내곡동 493-1,37.6298029,126.7947673,738,,,,,,2013-10-11,경기도 고양시 덕양구청,031-8075-5267,2021-05-13
내곡동섬말2,소공원,경기도 고양시 덕양구 호수로 247-51,경기도 고양시 덕양구 내곡동 493-4번지,37.6288905,126.7951045,573,,,,,,2013-10-11,경기도 고양시 덕양구청,031-8075-5267,2021-05-13
서오롱3,어린이공원,경기도 고양시 덕양구 용두로 176-42,경기도 고양시 덕양구 용두동 2-13번지,37.62175559,126.8985015,1816,,,,,,2014-01-07,경기도 고양시 덕양구청,031-8075-5267,2021-05-13
서오릉1,소공원,경기도 고양시 덕양구 서오릉로 460,경기도 고양시 덕양구 용두동 432-27번지,37.62805826,126.8897662,1017,,,,,,2014-01-07,경기도 고양시 덕양구청,031-8075-5267,2021-05-13
서오릉2,어린이공원,,경기도 고양시 덕양구 용두동 432-396,37.62721653,126.8953901,1504,,,,,,2014-01-07,경기도 고양시 덕양구청,031-8075-5267,2021-05-13
공원(벽제목암지구),근린공원,경기도 고양시 덕양구 호국로1873번길 57-10,경기도 고양시 덕양구 벽제동 78-3번지,37.71911128,126.9111907,25227,,,,,,2014-12-09,경기도 고양시 푸른도시사업소,031-8075-4323,2021-05-13
명지,소공원,,경기도 고양시 덕양구 화정동 712-10,37.64446555,126.8307012,755,,,,,,2015-07-03,경기도 고양시 덕양구청,031-8075-5267,2021-05-13
희망,소공원,,경기도 고양시 덕양구 화정동 712-10,37.64446555,126.8307012,3321,,,,,,2015-07-03,경기도 고양시 덕양구청,031-8075-5267,2021-05-13
탄현 5(탄현),어린이공원,경기도 고양시 일산서구 현중로36번길 20-2,경기도 고양시 일산서구 탄현동 1495번지,37.69382211,126.7688736,1501,체력단련시설,조합놀이대+그네+흔들놀이대,화장실,,,1990-12-19,경기도 고양시 일산서구청,031-8075-7266,2021-05-13
탄현 6(탄중),어린이공원,경기도 고양시 일산서구 탄중로233번길 16,경기도 고양시 일산서구 탄현동 1501번지,37.69423204,126.7709827,1494,체력단련시설,조합놀이대+그네+흔들놀이대+철봉,화장실,,,1990-12-19,경기도 고양시 일산서구청,031-8075-7266,2021-05-13
후동,어린이공원,,경기도 고양시 일산서구 일산동 1557-1,37.69423458,126.7771038,4962,체력단련시설,조합놀이대+흔들놀이대,,,,1991-05-31,경기도 고양시 일산서구청,031-8075-7266,2021-05-13
중산 10(한뫼),근린공원,경기도 고양시 일산서구 탄중로 284,경기도 고양시 일산서구 일산동 1558번지,37.69355743,126.7762593,27167,체력단련시설,,,,,1991-05-31,경기도 고양시 푸른도시사업소,031-8075-4343,2021-05-13
호미걸이,어린이공원,경기도 고양시 일산서구 웅비로12번길 5-21,경기도 고양시 일산서구 대화동 2008번지,37.68443535,126.7577169,3987,체력단련시설,조합놀이대+그네+시소,,,,1991-06-29,경기도 고양시 일산서구청,031-8075-7266,2021-05-13
새말,어린이공원,경기도 고양시 일산서구 성저로50번길 23,경기도 고양시 일산서구 대화동 2065번지,37.68417826,126.7541354,3659,체력단련시설,조합놀이대+그네+시소+흔들놀이대,,,,1991-06-29,경기도 고양시 일산서구청,031-8075-7266,2021-05-13
토성,어린이공원,경기도 고양시 일산서구 성저로 24-2,경기도 고양시 일산서구 대화동 2092번지,37.68187568,126.7515212,4326,체력단련시설,조합놀이대+그네+시소,화장실,,,1991-06-29,경기도 고양시 일산서구청,031-8075-7266,2021-05-13
향동수변2,수변공원,,경기도 고양시 덕양구 향동동 328-4,37.59833648,126.8913099,16470,,,,,,2009-12-30,경기도 고양시 푸른도시사업소,031-8075-4323,2021-05-13
향동어린이2,어린이공원,,경기도 고양시 덕양구 향동동 333,37.59877702,126.8903127,1866,,,,,,2009-12-30,경기도 고양시 덕양구청,031-8075-5267,2021-05-13
향동체육공원,체육공원,,경기도 고양시 덕양구 향동동 356,37.59617108,126.8881199,30684,,,,,,2009-12-30,경기도 고양시 푸른도시사업소,031-8075-4323,2021-05-13
문화예술,소공원,경기도 고양시 덕양구 고양대로1407번길 69,경기도 고양시 덕양구 성사동 488-40번지,37.65704433,126.8418993,6455,,,,,,2010-09-06,경기도 고양시 푸른도시사업소,031-8075-4327,2021-05-13
성저,근린공원,경기도 고양시 일산서구 일산로 655,경기도 고양시 일산서구 대화동 2104번지,37.68232402,126.7562364,50334,다목적운동장+체력단련시설,,,,,1991-06-29,경기도 고양시 푸른도시사업소,031-8075-4343,2021-05-13
성저,어린이공원,경기도 고양시 일산서구 일산로695번길 47,경기도 고양시 일산서구 대화동 2113번지,37.67989046,126.7557898,1994,,조합놀이대+그네+흔들놀이대+철봉,,,,1991-06-29,경기도 고양시 일산서구청,031-8075-7266,2021-05-13
가와지,어린이공원,경기도 고양시 일산서구 강성로214번길 41-10,경기도 고양시 일산서구 대화동 2166번지,37.67679795,126.7538503,4798,체력단련시설,조합놀이대+그네+흔들놀이대+철봉+평행봉,화장실,,,1991-06-29,경기도 고양시 일산서구청,031-8075-7266,2021-05-13
대화,어린이공원,경기도 고양시 일산서구 일산로 732-3,경기도 고양시 일산서구 대화동 2211번지,37.67815864,126.7491532,6555,체력단련시설,조합놀이대+그네+흔들놀이대,화장실,,,1991-06-29,경기도 고양시 일산서구청,031-8075-7266,2021-05-13
양촌,어린이공원,,경기도 고양시 일산서구 대화동 2235,37.67354788,126.7459951,3002,체력단련시설,조합놀이대,,,,1991-06-29,경기도 고양시 일산서구청,031-8075-7266,2021-05-13
장촌,근린공원,경기도 고양시 일산서구 중앙로 1525,경기도 고양시 일산서구 대화동 2241번지,37.67402156,126.7515073,16574,체력단련시설,,,,,1991-06-29,경기도 고양시 푸른도시사업소,031-8075-4343,2021-05-13
도화,어린이공원,경기도 고양시 일산서구 일산로 604,경기도 고양시 일산서구 일산동 1043번지,37.68229664,126.7622449,4999,체력단련시설,조합놀이대+정글짐+시소+흔들놀이대,화장실,,,1991-06-29,경기도 고양시 일산서구청,031-8075-7266,2021-05-13
윗말,어린이공원,경기도 고양시 일산서구 고봉로 189-3,경기도 고양시 일산서구 일산동 1095번지,37.6771276,126.7736303,6400,체력단련시설,조합놀이대+그네+시소+흔들놀이대+회전놀이대,화장실,,,1991-06-29,경기도 고양시 일산서구청,031-8075-7266,2021-05-13
후동,근린공원,,경기도 고양시 일산서구 일산동 1400,37.6784201,126.7669398,19195,체력단련시설,,,,,1991-06-29,경기도 고양시 푸른도시사업소,031-8075-4343,2021-05-13
문촌,어린이공원,경기도 고양시 일산서구 주엽로 173-4,경기도 고양시 일산서구 주엽동 10번지,37.67482614,126.7581874,4901,체력단련시설,조합놀이대+그네+흔들놀이대,화장실,,,1991-06-29,경기도 고양시 일산서구청,031-8075-7266,2021-05-13
주엽,근린공원,경기도 고양시 일산서구 주화로 65-3,경기도 고양시 일산서구 주엽동 118번지,37.66760303,126.7594579,19614,체력단련시설,,,,,1991-06-29,경기도 고양시 푸른도시사업소,031-8075-4343,2021-05-13
오거리,어린이공원,경기도 고양시 일산서구 주엽로 220-4,경기도 고양시 일산서구 주엽동 34번지,37.67618198,126.7647349,4001,,조합놀이대+그네+시소+흔들놀이대,화장실,,,1991-06-29,경기도 고양시 일산서구청,031-8075-7266,2021-05-13
오마,어린이공원,경기도 고양시 일산서구 주엽로 220-4,경기도 고양시 일산서구 주엽동 34번지,37.67618198,126.7647349,5700,체력단련시설,조합놀이대+그네+시소+흔들놀이대,화장실,,,1991-06-29,경기도 고양시 일산서구청,031-8075-7266,2021-05-13
궁골,어린이공원,경기도 고양시 일산서구 고봉로 91-3,경기도 고양시 일산서구 주엽동 55번지,37.66966031,126.7699016,6901,체력단련시설,조합놀이대+정글짐+그네+흔들놀이대,화장실,,,1991-06-29,경기도 고양시 일산서구청,031-8075-7266,2021-05-13
삼송근린12(당고개),근린공원,,경기도 고양시 덕양구 오금동 산107-1,37.66216438,126.9048144,12328,,,,,,2009-06-04,경기도 고양시 푸른도시사업소,031-8075-4327,2021-05-13
원흥지구수변공원(도래울바람물),수변공원,,경기도 고양시 덕양구 도내동 980,37.63122307,126.8745623,77416,,,,,,2009-09-28,경기도 고양시 푸른도시사업소,031-8075-4327,2021-05-13
원흥근린2(도래울의장대),근린공원,,경기도 고양시 덕양구 도내동 1078,37.62932677,126.8707026,13068,,,,,,2009-09-28,경기도 고양시 푸른도시사업소,031-8075-4327,2021-05-13
어린이공원1(고운),어린이공원,,경기도 고양시 덕양구 도내동 740,37.63630434,126.8743723,2037,,,,,,2009-09-28,경기도 고양시 덕양구청,031-8075-5267,2021-05-13
원흥근린3(도래울의장대),근린공원,경기도 고양시 덕양구 의장로 45-1,경기도 고양시 덕양구 도내동 1101번지,37.62784737,126.8735354,29305,,,주차장+화장실,,,2009-09-28,경기도 고양시 푸른도시사업소,031-8075-4327,2021-05-13
원흥지구 소공원,소공원,,경기도 고양시 덕양구 원흥동 718,37.6372474,126.8716742,2681,,,,,,2009-09-28,경기도 고양시 덕양구청,031-8075-5267,2021-05-13
화전9,어린이공원,경기도 고양시 덕양구 화랑로165번길 105,경기도 고양시 덕양구 화전동 455-39번지,37.61418624,126.8682042,1500,,,,,,2009-12-17,경기도 고양시 덕양구청,031-8075-5267,2021-05-13
향동지구 소공원1,소공원,,경기도 고양시 덕양구 향동동 138-1,37.60155224,126.890535,2474,,,,,,2009-12-30,경기도 고양시 덕양구청,031-8075-5267,2021-05-13
향동수변1,수변공원,,경기도 고양시 덕양구 향동동 183,37.60622784,126.8809811,1796,,,,,,2009-12-30,경기도 고양시 푸른도시사업소,031-8075-4323,2021-05-13
향동지구 소공원2,소공원,,경기도 고양시 덕양구 향동동 218-22,37.59955904,126.8981137,7301,,,,,,2009-12-30,경기도 고양시 덕양구청,031-8075-5267,2021-05-13
향동근린2,근린공원,,경기도 고양시 덕양구 향동동 24-1,37.60622784,126.8809811,11935,,,,,,2009-12-30,경기도 고양시 푸른도시사업소,031-8075-4323,2021-05-13
소공원4(중부대학교),소공원,,경기도 고양시 덕양구 대자동 619-2,37.71173865,126.8883956,414,,,,,,2017-12-05,경기도 고양시 덕양구청,031-8075-5267,2021-05-13
소공원5(중부대학교),소공원,,경기도 고양시 덕양구 대자동 611-4,37.71145999,126.8890538,302,,,,,,2017-12-05,경기도 고양시 덕양구청,031-8075-5267,2021-05-13
소공원6(중부대학교),소공원,,경기도 고양시 덕양구 대자동 1214-13,37.71068562,126.8895313,424,,,,,,2017-12-05,경기도 고양시 덕양구청,031-8075-5267,2021-05-13
소공원7(중부대학교),소공원,경기도 고양시 덕양구 동헌로 319-25,경기도 고양시 덕양구 대자동 606번지,37.71140108,126.8901996,178,,,,,,2017-12-05,경기도 고양시 덕양구청,031-8075-5267,2021-05-13
소공원8(중부대학교),소공원,,경기도 고양시 덕양구 대자동 1214-13,37.71068562,126.8895313,221,,,,,,2017-12-05,경기도 고양시 덕양구청,031-8075-5267,2021-05-13
소공원9(중부대학교),소공원,경기도 고양시 덕양구 동헌로 321-44,경기도 고양시 덕양구 대자동 598-1번지,37.71149452,126.8918565,736,,,,,,2017-12-05,경기도 고양시 덕양구청,031-8075-5267,2021-05-13
소공원10(중부대학교),소공원,경기도 고양시 덕양구 동헌로 337,경기도 고양시 덕양구 대자동 596-1번지,37.70976418,126.8913359,925,,,,,,2017-12-05,경기도 고양시 덕양구청,031-8075-5267,2021-05-13
문화공원(요진Y-City),문화공원,,경기도 고양시 일산동구 백석동 1237-1,37.64326748,126.7919878,5742,,,,,,2010-02-02,경기도 고양시 푸른도시사업소,031-8075-4337,2021-05-13
근린공원(일산3지구),근린공원,,경기도 고양시 일산동구 중산동 284,37.6747706388,126.7850181561,20095,,,,,,2010-07-29,경기도 고양시 푸른도시사업소,031-8075-4337,2021-05-13
하늘별무리(일산2),어린이공원,경기도 고양시 일산동구 약산길 28-4,경기도 고양시 일산동구 중산동 25-11번지,37.68131673,126.793015,6145,,,,,,2015-06-30,경기도 고양시 일산동구청,031-8075-6263,2021-05-13
덕은1(덕은지구),소공원,경기도 고양시 일산동구 고양대로 864-10,경기도 고양시 일산동구 중산동 39-4,37.67946519,126.7906624,1007,,,,,,2015-06-30,경기도 고양시 일산동구청,031-8075-6263,2021-05-13
식사체육공원,체육공원,,경기도 고양시 일산동구 식사동 산135-1,37.68479608,126.815122,14685,,,,,,2017-01-24,경기도 고양시 푸른도시사업소,031-8075-4337,2021-05-13
1호어린이공원(풍동2지구),어린이공원,,경기도 고양시 일산동구 풍동 746,37.6702972346,126.7923987046,5100,,신설,,,,2020-04-14,경기도 고양시 일산동구청,031-8075-6263,2021-05-13
탄현 1(황룡),어린이공원,경기도 고양시 일산서구 탄현로 73,경기도 고양시 일산서구 탄현동 1475번지,37.697663,126.7673758,1500,체력단련시설,조합놀이대+그네+시소,화장실,,,1990-12-19,경기도 고양시 일산서구청,031-8075-7266,2021-05-13
탄현 3(현중),어린이공원,경기도 고양시 일산서구 현중로 56,경기도 고양시 일산서구 탄현동 1478번지,37.69559116,126.7675316,1500,체력단련시설,조합놀이대+그네+흔들놀이대,화장실,,,1990-12-19,경기도 고양시 일산서구청,031-8075-7266,2021-05-13
에어드리공원,근린공원,,,,,24080,체력단련장+체력단련시설+턱걸이+윗몸일으키기+팔굽혀펴기+역기들기,,주차장+음수장,도서관,조경시설+관리시설+광장+도로,1997-03-31,과천시청,02-3677-2272,2022-08-01
2단지 소공원,소공원,,,,,3802,체력단련시설,,,,조경시설,2011-08-09,과천시청,02-3677-2273,2022-08-01
청사앞소공원,근린공원,,,,,6321,체력단련시설,,,,조경시설+광장+도로,1980-07-20,과천시청,02-3677-2272,2022-08-01
남태령2소공원,소공원,,,,,370,체력단련시설,,,,조경시설+도로,2005-05-30,과천시청,02-3677-2272,2022-08-01
뒷골4소공원,소공원,,,,,377,체력단련시설,,,,조경시설+도로,2005-05-30,과천시청,02-3677-2272,2022-08-01
삼거리소공원,소공원,,,,,1276,체력단련시설,어린이놀이터,파고라,,조경시설+도로,2005-05-30,과천시청,02-3677-2272,2022-08-01
뒷골1어린이공원,어린이공원,,,,,1501,체력단련시설,어린이놀이터,파고라,,조경시설+도로,2005-05-30,과천시청,02-3677-2272,2022-08-01
문원어린이공원,어린이공원,,,,,1737,체력단련시설,어린이놀이터,,,조경시설+도로,2001-12-11,과천시청,02-3677-2272,2022-08-01
죽바위1 어린이공원,어린이공원,,,,,1590,체력단련시설,어린이놀이터,,,조경시설,2005-05-30,과천시청,02-3677-2272,2022-08-01
사기막골1 어린이공원,어린이공원,,,,,1540,,어린이놀이터,,,조경시설,2005-05-30,과천시청,02-3677-2272,2022-08-01
죽바위2역사공원,역사공원,,,,,4299,,어린이놀이터,주차장,전시장,조경시설+광장+도로,2009-12-18,과천시청,02-3677-2272,2022-08-01
관문체육공원,체육공원,,,,,176471,다목적운동장+농구장+잔디볼링장+배구장+테니스장+게이트볼장+배드민턴장+체력단련장,어린이놀이터,주차장+음수장,,조경시설+관리리설+광장+도로,1996-11-18,과천시 시설관리공단,02-500-1410,2022-08-01
문원체육공원,체육공원,,,,,36676,다목적운동장+농구장+테니스장+게이트볼장+체력단련장+조깅코스+배드민턴장+인라인스케이트장,어린이놀이터+물놀이못+지압보도+전통정자,주차장+음수장,야외공연장,조경시설+관리리설+광장+도로,2000-06-14,과천시 시설관리공단,02-500-1410,2022-08-01
관문어린이문화공원,문화공원,,,,,3665,,어린이놀이터,,교통체험시설,조경시설+광장+도로,2009-09-14,과천시 시설관리공단,02-500-1410,2022-08-01
7-2단지 소공원,소공원,,,,,1086,,,파고라,,조경시설,2014-06-19,과천시청,02-3677-2272,2022-08-01
1단지 소공원,소공원,,,,,1049,체력단련시설,,파고라,,조경시설,2011-09-23,과천시청,02-3677-2273,2022-08-01
남태령3소공원,소공원,,,,,670,체력단련시설,,파고라,,조경시설,2005-05-30,과천시청,02-3677-2273,2022-08-01
광창1어린이공원,어린이공원,,,,,1529,,어린이놀이터,파고라,,조경시설,2005-05-30,과천시청,02-3677-2273,2022-08-01
중앙공원,근린공원,,,,,47627,농구장+게이트볼장+체력단련시설,어린이놀이터+정자,음수장,도서관+야외공연장,조경시설+관리리설+광장+도로,1980-07-20,과천시청,02-3677-2272,2022-08-01
문화공원2,문화공원,,,,,14098,,,,,,2016-07-29,경기도 광명시청,02-2680-6298,2022-03-04
양지사거리체육공원,체육공원,,,,,13679,,,화장실,,,2017-11-10,경기도 광명시청,02-2680-6298,2022-03-04
새싹모둠소공원,소공원,,,,,0,,,,,,,경기도 광명시청,02-2680-6298,2022-03-04
광덕,어린이공원,,,,,0,,,화장실,,,2021-08-20,경기도 광명시청,02-2680-6298,2022-03-04
광덕산,근린공원,,,,,61613,,,화장실,,,1905-06-19,경기도 광명시청,02-2680-6298,2022-03-04
광 덕,근린공원,,,,,12645,,,화장실,,,2004-08-02,경기도 광명시청,02-2680-6298,2022-03-04
철망산,근린공원,,,,,122674,,,화장실,,계류,2006-01-01,경기도 광명시청,02-2680-6298,2022-03-04
가림2,어린이공원,,,,,10059,,,,,,1993-05-31,경기도 광명시청,02-2680-6298,2022-03-04
안터저수지,근린공원,,,,,20294,,,생태관리사무소,생태체험교실,,2004-09-30,경기도 광명시청,02-2680-6298,2022-03-04
소 하,근린공원,,,,,24850,,,화장실,,,1992-12-26,경기도 광명시청,02-2680-6298,2022-03-04
한 내,근린공원,,,,,87838,,,화장실,,수경시설,2001-01-06,경기도 광명시청,02-2680-6298,2022-03-04
영당말,근린공원,,,,,20250,,,화장실,,,2005-12-27,경기도 광명시청,02-2680-6298,2022-03-04
덕 안,근린공원,,,,,37773,,,화장실,,,2005-12-27,경기도 광명시청,02-2680-6298,2022-03-04
오리역사공원,역사공원,,,,,47720,미조성,,,,,2001-01-01,경기도 광명시청,02-2680-6298,2022-03-04
충현역사공원,역사공원,,,,,7352,,,,,역사시설,2007-11-22,경기도 광명시청,02-2680-6298,2022-03-04
기형도문화공원,문화공원,,,,,50011,,,,,문학작품(시),2005-12-27,경기도 광명시청,02-2680-6298,2022-03-04
철산,어린이공원,,,,,2615,,,,,,2005-12-12,경기도 광명시청,02-2680-6298,2022-03-04
연서,어린이공원,,,,,1594,,,,,,1984-05-30,경기도 광명시청,02-2680-6298,2022-03-04
철산13단지,어린이공원,,,,,1650,,,,,,1986-11-06,경기도 광명시청,02-2680-6298,2022-03-04
도덕파크,어린이공원,,,,,1500,,,,,,1987-06-08,경기도 광명시청,02-2680-6298,2022-03-04
햇빛,어린이공원,,,,,1500,,,,,,1987-12-24,경기도 광명시청,02-2680-6298,2022-03-04
현대,어린이공원,,,,,1500,,,,,,1987-06-08,경기도 광명시청,02-2680-6298,2022-03-04
가림,어린이공원,,,,,1500,,,,,,1987-12-24,경기도 광명시청,02-2680-6298,2022-03-04
안현,어린이공원,,,,,1500,,,,,,1989-10-26,경기도 광명시청,02-2680-6298,2022-03-04
무지개,어린이공원,,,,,1500,,,,,,1987-12-24,경기도 광명시청,02-2680-6298,2022-03-04
소망,어린이공원,,,,,1500,,,,,,1987-12-24,경기도 광명시청,02-2680-6298,2022-03-04
평화,어린이공원,,,,,1500,,,,,,1987-12-24,경기도 광명시청,02-2680-6298,2022-03-04
새싹,어린이공원,,,,,1500,,,,,,1987-12-24,경기도 광명시청,02-2680-6298,2022-03-04
나래,어린이공원,,,,,1500,,,,,,1987-12-24,경기도 광명시청,02-2680-6298,2022-03-04
꿈나무,어린이공원,,,,,1500,,,,,,1987-12-24,경기도 광명시청,02-2680-6298,2022-03-04
무궁화,어린이공원,,,,,1500,,,,,,1987-12-24,경기도 광명시청,02-2680-6298,2022-03-04
노봉애,어린이공원,,,,,1500,,,,,,1987-12-24,경기도 광명시청,02-2680-6298,2022-03-04
푸른,어린이공원,,,,,1500,,,,,,1987-12-24,경기도 광명시청,02-2680-6298,2022-03-04
희망찬,어린이공원,,,,,2338,,,,,,1986-12-30,경기도 광명시청,02-2680-6298,2022-03-04
서편,어린이공원,,,,,1500,,,,,,1987-12-24,경기도 광명시청,02-2680-6298,2022-03-04
개나리,어린이공원,,,,,1500,,,,,,1987-12-24,경기도 광명시청,02-2680-6298,2022-03-04
초록,어린이공원,,,,,1500,,,,,,1987-12-24,경기도 광명시청,02-2680-6298,2022-03-04
병아리,어린이공원,,,,,1500,,,,,,1987-12-24,경기도 광명시청,02-2680-6298,2022-03-04
백합,어린이공원,,,,,1500,,,,,,1987-12-24,경기도 광명시청,02-2680-6298,2022-03-04
달맞이,어린이공원,,,,,9191,,,,,,2004-01-06,경기도 광명시청,02-2680-6298,2022-03-04
새터,어린이공원,,,,,2530,,,,,,2005-01-10,경기도 광명시청,02-2680-6298,2022-03-04
하평,어린이공원,,,,,1590,,,,,,2004-01-06,경기도 광명시청,02-2680-6298,2022-03-04
그루터기,어린이공원,,,,,8421,,,,,수경시설,2004-01-06,경기도 광명시청,02-2680-6298,2022-03-04
금빛,어린이공원,,,,,1582,,,,,,2004-01-06,경기도 광명시청,02-2680-6298,2022-03-04
둔벙,어린이공원,,,,,1590,,,,,,2004-01-06,경기도 광명시청,02-2680-6298,2022-03-04
해오름,어린이공원,,,,,5879,,,,,,2004-01-06,경기도 광명시청,02-2680-6298,2022-03-04
새싹,어린이공원,,,,,1500,,,,,,1987-03-31,경기도 광명시청,02-2680-6298,2022-03-04
성화,어린이공원,,,,,1500,,,,,,1987-03-31,경기도 광명시청,02-2680-6298,2022-03-04
물결,어린이공원,,,,,3298,,,,,,2004-01-06,경기도 광명시청,02-2680-6298,2022-03-04
선경,어린이공원,,,,,1500,,,,,,1987-03-31,경기도 광명시청,02-2680-6298,2022-03-04
호봉제1소공원,소공원,,,,,261,,,,,,2007-07-09,경기도 광명시청,02-2680-6298,2022-03-04
꿈동산,어린이공원,,,,,728,,,,,,1986-11-06,경기도 광명시청,02-2680-6298,2022-03-04
밤일제1소공원,소공원,,,,,521,,,,,,2009-06-02,경기도 광명시청,02-2680-6298,2022-03-04
